,Date,Open,High,Low,Close,Adj Close,Volume
281,2001-11-16,6.301557,6.476221,6.260522,6.313130999999999,6.313130999999999,44195500
282,2001-11-19,6.35101,6.576179,6.340488,6.535143,6.535143,65672600
283,2001-11-20,6.481482,6.574074,6.217382,6.219487,6.219487,52866000
284,2001-11-21,6.202652,6.40362,6.134258999999999,6.40362,6.40362,46030700
285,2001-11-23,6.340488,6.4793769999999995,6.323653,6.476221,6.476221,14496400
286,2001-11-26,6.5614479999999995,6.8707910000000005,6.560396000000001,6.856061,6.856061,107686900
287,2001-11-27,6.769781,6.919192,6.576179,6.815025,6.815025,85966500
288,2001-11-28,6.761364,7.108586,6.741372,6.849748,6.849748,105357500
289,2001-11-29,6.828703999999999,7.023358999999999,6.823442999999999,6.969697,6.969697,60628800
290,2001-11-30,6.933922999999999,7.206439,6.924453,7.162248,7.162248,79623500
291,2001-12-03,7.090699000000001,7.112794,6.9760100000000005,7.057028999999999,7.057028999999999,45713200
292,2001-12-04,7.0349330000000005,7.366372,7.001263000000001,7.364267999999999,7.364267999999999,71651600
293,2001-12-05,7.361111,7.65362,7.156986999999999,7.2579970000000005,7.2579970000000005,148671000
294,2001-12-06,7.253788,7.4042509999999995,7.210648,7.3811029999999995,7.3811029999999995,70192700
295,2001-12-07,7.295876,7.343224,7.039141000000001,7.149621000000001,7.149621000000001,60774200
296,2001-12-10,7.060185000000001,7.279039999999999,7.003367,7.049663000000001,7.049663000000001,50299900
297,2001-12-11,7.098064,7.488426,7.097011999999999,7.375842,7.375842,78943000
298,2001-12-12,7.3063970000000005,7.36532,7.098064,7.312710000000001,7.312710000000001,66302700
299,2001-12-13,7.114899,7.1811869999999995,6.946549,6.961278999999999,6.961278999999999,55989000
300,2001-12-14,6.986532,7.1864479999999995,6.963384,7.006524000000001,7.006524000000001,52401200
301,2001-12-17,6.998106,7.332702,6.920244,7.290615,7.290615,57512500
302,2001-12-18,7.270623,7.363214999999999,6.9707490000000005,7.029672,7.029672,84092300
303,2001-12-19,6.977061999999999,7.1864479999999995,6.891835,6.965488000000001,6.965488000000001,72899400
304,2001-12-20,6.949706,7.0885940000000005,6.682449,6.690867,6.690867,55635400
305,2001-12-21,6.7813550000000005,6.886574,6.707702,6.838172999999999,6.838172999999999,59703100
306,2001-12-24,6.844486999999999,6.929714,6.6561449999999995,6.714015,6.714015,18747500
307,2001-12-26,6.8276520000000005,7.053872,6.8276520000000005,6.980219,6.980219,40902300
308,2001-12-27,6.990741000000001,7.07702,6.893939,6.962332000000001,6.962332000000001,28567100
309,2001-12-28,7.024411,7.166456,7.023358999999999,7.15383,7.15383,32922800
310,2001-12-31,7.1864479999999995,7.204335,6.9917929999999995,7.039141000000001,7.039141000000001,34766500
311,2002-01-02,6.880261,6.969697,6.7760940000000005,6.962332000000001,6.962332000000001,59122400
312,2002-01-03,6.950758,7.1832910000000005,6.901305000000001,7.154882000000001,7.154882000000001,50394900
313,2002-01-04,7.160143,7.312710000000001,7.102272999999999,7.207491,7.207491,44531900
314,2002-01-07,7.216961,7.280092999999999,7.006524000000001,7.02862,7.02862,42132100
315,2002-01-08,7.048611,7.107533,6.875,7.106482000000001,7.106482000000001,52871700
316,2002-01-09,7.173821,7.255892,7.007575999999999,7.038089,7.038089,51664600
317,2002-01-10,6.997053999999999,7.0707070000000005,6.917088000000001,6.943392,6.943392,44653500
318,2002-01-11,6.952862,7.023358999999999,6.6813970000000005,6.720328,6.720328,64879000
319,2002-01-14,6.676136,6.731902000000001,6.567761,6.645623,6.645623,49657400
320,2002-01-15,6.729798,6.855009,6.695075999999999,6.737163000000001,6.737163000000001,70104300
321,2002-01-16,6.434133,6.601431,6.294192,6.306818,6.306818,129415000
322,2002-01-17,6.523569,6.590909,6.404672,6.482533,6.482533,84184500
